pfam_id	name	description	average_coverage
PF00416.28	Ribosomal_S13	Ribosomal protein S13/S18	77.11
PF00312.28	Ribosomal_S15	Ribosomal protein S15	54.49
PF00366.27	Ribosomal_S17	Ribosomal protein S17	54.93
PF00833.24	Ribosomal_S17e	Ribosomal S17	72.68
PF00203.27	Ribosomal_S19	Ribosomal protein S19	70.0
PF01090.26	Ribosomal_S19e	Ribosomal protein S19e	75.0
PF00318.26	Ribosomal_S2	Ribosomal protein S2	66.3
PF01282.26	Ribosomal_S24e	Ribosomal protein S24e	60.08
PF01667.24	Ribosomal_S27e	Ribosomal protein S27	51.76
PF01200.25	Ribosomal_S28e	Ribosomal protein S28e	54.54
PF01015.24	Ribosomal_S3Ae	Ribosomal S3Ae family	73.05
PF00177.28	Ribosomal_S7	Ribosomal protein S7p/S5e	78.21
PF00410.25	Ribosomal_S8	Ribosomal protein S8	90.46
PF01201.28	Ribosomal_S8e	Ribosomal protein S8e	81.82
PF00380.26	Ribosomal_S9	Ribosomal protein S9/S16	64.83
PF00164.32	Ribosom_S12_S23	Ribosomal protein S12/S23	72.85
PF06026.21	Rib_5-P_isom_A	Ribose 5-phosphate isomerase A (phosphoriboisomerase A)	67.27
PF01876.24	RNase_P_p30	RNase P subunit p30	66.43
PF01900.25	RNase_P_Rpp14	Rpp14/Pop5 family	59.15
PF03874.22	RNA_pol_Rpb4	RNA polymerase Rpb4	63.62
PF01137.27	RTC	RNA 3'-terminal phosphate cyclase	84.76
PF00344.26	SecY	SecY	76.9
PF06093.20	Spt4	Spt4/RpoE2 zinc finger	58.71
PF02516.21	STT3	Oligosaccharyl transferase STT3, N-terminal	50.86
PF00121.25	TIM	Triosephosphate isomerase	90.48
PF01997.22	Translin	Translin family	73.66
PF02005.23	TRM	N2,N2-dimethylguanosine tRNA methyltransferase	72.55
PF00750.26	tRNA-synt_1d	tRNA synthetases class I (R), catalytic domain	54.16
PF04414.19	tRNA_deacylase	D-aminoacyl-tRNA deacylase	64.25
PF01142.24	TruD	tRNA pseudouridine synthase D (TruD)	60.48
PF03685.20	UPF0147	Uncharacterised protein family (UPF0147)	93.79
