pfam_id	name	description	average_coverage
PF00237.25	Ribosomal_L22	Ribosomal protein L22p/L17e	64.44
PF00276.26	Ribosomal_L23	Ribosomal protein L23	60.17
PF01016.25	Ribosomal_L27	Ribosomal L27 protein	65.74
PF00830.25	Ribosomal_L28	Ribosomal L28 family	56.55
PF00831.29	Ribosomal_L29	Ribosomal L29 protein	59.98
PF00297.29	Ribosomal_L3	Ribosomal protein L3	65.82
PF01197.24	Ribosomal_L31	Ribosomal protein L31	87.31
PF01632.25	Ribosomal_L35p	Ribosomal protein L35	71.92
PF00573.28	Ribosomal_L4	Ribosomal protein L4/L1 family	72.55
PF00347.29	Ribosomal_L6	Ribosomal protein L6	74.5
PF03948.20	Ribosomal_L9_C	Ribosomal protein L9, C-terminal domain	51.16
PF00338.28	Ribosomal_S10	Ribosomal protein S10p/S20e	65.64
PF00411.25	Ribosomal_S11	Ribosomal protein S11	70.5
PF00416.28	Ribosomal_S13	Ribosomal protein S13/S18	77.11
PF00312.28	Ribosomal_S15	Ribosomal protein S15	54.49
PF00366.27	Ribosomal_S17	Ribosomal protein S17	54.93
PF00203.27	Ribosomal_S19	Ribosomal protein S19	70.0
PF00318.26	Ribosomal_S2	Ribosomal protein S2	66.3
PF01649.24	Ribosomal_S20p	Ribosomal protein S20	88.82
PF01250.23	Ribosomal_S6	Ribosomal protein S6	67.81
PF00177.28	Ribosomal_S7	Ribosomal protein S7p/S5e	78.21
PF00410.25	Ribosomal_S8	Ribosomal protein S8	90.46
PF00380.26	Ribosomal_S9	Ribosomal protein S9/S16	64.83
PF00164.32	Ribosom_S12_S23	Ribosomal protein S12/S23	72.85
PF00834.26	Ribul_P_3_epim	Ribulose-phosphate 3 epimerase family	83.81
PF01351.26	RNase_HII	Ribonuclease HII	73.28
PF01193.30	RNA_pol_L	RNA polymerase Rpb3/Rpb11 dimerisation domain	65.44
PF01192.28	RNA_pol_Rpb6	RNA polymerase Rpb6	50.93
PF01765.25	RRF	Ribosome recycling factor	76.38
PF02075.24	RuvC	Crossover junction endodeoxyribonuclease RuvC	82.4
PF00584.26	SecE	SecE/Sec61-gamma subunits of protein translocation complex	60.85
PF03840.21	SecG	Preprotein translocase SecG subunit	77.76
PF00344.26	SecY	SecY	76.9
PF00464.26	SHMT	Serine hydroxymethyltransferase	82.94
PF02616.20	SMC_ScpA	Segregation and condensation protein ScpA	77.01
PF04079.23	SMC_ScpB	Segregation and condensation complex subunit ScpB	70.39
PF01668.24	SmpB	SmpB protein	90.65
PF00902.24	TatC	Sec-independent protein translocase protein (TatC)	76.99
PF00121.25	TIM	Triosephosphate isomerase	90.48
PF00750.26	tRNA-synt_1d	tRNA synthetases class I (R), catalytic domain	54.16
PF01411.25	tRNA-synt_2c	tRNA synthetases class II (A)	60.17
PF13393.12	tRNA-synt_His	Histidyl-tRNA synthetase	52.82
PF01746.27	tRNA_m1G_MT	tRNA (Guanine-1)-methyltransferase TrmD	89.12
PF02699.22	YajC	Preprotein translocase subunit	67.28
PF02130.25	YbeY	Endoribonuclease YbeY	77.01
PF02618.22	YceG	YceG-like family	76.13
PF09424.16	YqeY	Yqey-like protein	91.45
