assembly_id	label	taxid	uniq_SCG_hits	perc_comp	perc_redund	domain	phylum	class	order	family	genus	specific_name
GCF_000026125.1	GCF_000026125.1_Bacteria_Proteobacteria_Betaproteobacteria_Herminiimonas_arsenicoxydans	204773	14	93.33	0.00	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herminiimonas	Herminiimonas arsenicoxydans
GCF_000091565.1	GCF_000091565.1_Bacteria_Proteobacteria_Gammaproteobacteria_Erwinia_amylovora	665029	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia amylovora
GCF_000146025.2	GCF_000146025.2_Bacteria_NA_Elusimicrobia_uncultured_Termite_group_1_bacterium	471821	14	93.33	0.00	Bacteria	NA	Elusimicrobia	NA	NA	NA	uncultured Termite group 1 bacterium
GCF_000147875.1	GCF_000147875.1_Archaea_Euryarchaeota_Methanomicrobia_Methanolacinia_petrolearia	679926	14	93.33	0.00	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanolacinia	Methanolacinia petrolearia
GCF_000166415.1	GCF_000166415.1_Bacteria_Firmicutes_Clostridia_Halanaerobium_hydrogeniformans	656519	14	93.33	0.00	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halanaerobiaceae	Halanaerobium	Halanaerobium hydrogeniformans
GCF_000180175.2	GCF_000180175.2_Bacteria_Proteobacteria_Gammaproteobacteria_Plautia_stali_symbiont	891974	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	Plautia stali symbiont
GCF_000195935.2	GCF_000195935.2_Archaea_Euryarchaeota_Thermococci_Pyrococcus_abyssi	272844	13	86.67	0.00	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus abyssi
GCF_000196435.1	GCF_000196435.1_Bacteria_Proteobacteria_Alphaproteobacteria_Bartonella_tribocorum	382640	14	93.33	0.00	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae	Bartonella	Bartonella tribocorum
GCF_000196815.1	GCF_000196815.1_Bacteria_Nitrospirae_Nitrospira_Nitrospira_defluvii	330214	14	93.33	0.00	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	NA	Nitrospira defluvii
GCF_000217635.1	GCF_000217635.1_Bacteria_Proteobacteria_Gammaproteobacteria_Buchnera_aphidicola	261317	13	86.67	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola
GCF_000237865.1	GCF_000237865.1_Archaea_Euryarchaeota_Halobacteria_Haloquadratum_walsbyi	768065	13	86.67	6.67	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloquadratum	Haloquadratum walsbyi
GCF_000247565.1	GCF_000247565.1_Bacteria_Proteobacteria_Gammaproteobacteria_Wigglesworthia_glossinidia	1142511	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Wigglesworthia	Wigglesworthia glossinidia
GCF_000286435.2	GCF_000286435.2_Bacteria_Proteobacteria_Gammaproteobacteria_Morganella_morganii	1124991	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Morganella	Morganella morganii
GCF_000287335.1	GCF_000287335.1_Bacteria_Proteobacteria_Gammaproteobacteria_secondary_endosymbiont_of_Ctenarytaina_eucalypti	1199245	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	secondary endosymbiont of Ctenarytaina eucalypti
GCF_000287355.1	GCF_000287355.1_Bacteria_Proteobacteria_Gammaproteobacteria_secondary_endosymbiont_of_Heteropsylla_cubana	134287	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	secondary endosymbiont of Heteropsylla cubana
GCF_000313175.2	GCF_000313175.2_Bacteria_Spirochaetes_Spirochaetia_Leptospira_santarosai	758847	14	93.33	0.00	Bacteria	Spirochaetes	Spirochaetia	NA	Leptospiraceae	Leptospira	Leptospira santarosai
GCF_000319245.1	GCF_000319245.1_Bacteria_Proteobacteria_Betaproteobacteria_Candidatus_Kinetoplastibacterium_blastocrithidii	1208923	14	93.33	0.00	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	Candidatus Kinetoplastibacterium	Candidatus Kinetoplastibacterium blastocrithidii
GCF_000341345.1	GCF_000341345.1_Bacteria_Actinobacteria_NA_Corynebacterium_halotolerans	1121362	14	93.33	0.00	Bacteria	Actinobacteria	NA	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium halotolerans
GCF_000723505.1	GCF_000723505.1_Bacteria_Bacteroidetes_Bacteroidia_Mucinivorans_hirudinis	1433126	14	93.33	0.00	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Mucinivorans	Mucinivorans hirudinis
GCF_000801295.1	GCF_000801295.1_Bacteria_Proteobacteria_Gammaproteobacteria_endosymbiont_of_unidentified_scaly_snail_isolate_Monju	1248727	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	endosymbiont of unidentified scaly snail isolate Monju
GCF_000815025.1	GCF_000815025.1_Bacteria_Proteobacteria_Gammaproteobacteria_Coxiella_endosymbiont_of_Amblyomma_americanum	325775	14	93.33	6.67	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella	Coxiella endosymbiont of Amblyomma americanum
GCF_000828835.1	GCF_000828835.1_Bacteria_Proteobacteria_Gammaproteobacteria_Thioploca_ingrica	40754	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thioploca	Thioploca ingrica
GCF_000829235.1	GCF_000829235.1_Bacteria_Cyanobacteria_NA_cyanobacterium_endosymbiont_of_Epithemia_turgida	1228987	14	93.33	0.00	Bacteria	Cyanobacteria	NA	NA	NA	NA	cyanobacterium endosymbiont of Epithemia turgida
GCF_000860965.1	GCF_000860965.1_Viruses_NA_NA_Papaya_leaf_distortion_mosaic_virus	46917	0	0.00	0.00	Viruses	NA	NA	NA	Potyviridae	Potyvirus	Papaya leaf distortion mosaic virus
GCF_000953195.1	GCF_000953195.1_Bacteria_Tenericutes_Mollicutes_Acholeplasma_oculi	35623	14	93.33	0.00	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma oculi
GCF_000953215.1	GCF_000953215.1_Bacteria_Firmicutes_Clostridia_Clostridium_cellulosi	29343	14	93.33	0.00	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	[Clostridium] cellulosi
GCF_000953475.1	GCF_000953475.1_Bacteria_Verrucomicrobia_Methylacidiphilae_Methylacidiphilum_fumariolicum	1156937	14	93.33	0.00	Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum	Methylacidiphilum fumariolicum
GCF_000953695.1	GCF_000953695.1_Bacteria_Proteobacteria_Gammaproteobacteria_Aliivibrio_wodanis	80852	13	86.67	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	Aliivibrio wodanis
GCF_000953715.1	GCF_000953715.1_Bacteria_Thermotogae_NA_Defluviitoga_tunisiensis	1006576	14	93.33	0.00	Bacteria	Thermotogae	NA	Petrotogales	NA	Defluviitoga	Defluviitoga tunisiensis
GCF_000953735.1	GCF_000953735.1_Bacteria_Proteobacteria_Gammaproteobacteria_Moritella_viscosa	80854	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Moritellaceae	Moritella	Moritella viscosa
GCF_000967895.1	GCF_000967895.1_Bacteria_Proteobacteria_Gammaproteobacteria_Oleispira_antarctica	698738	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Oleispira	Oleispira antarctica
GCF_001460635.1	GCF_001460635.1_Bacteria_Proteobacteria_Epsilonproteobacteria_Helicobacter_typhlonius	76936	14	93.33	0.00	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter typhlonius
GCF_001517405.1	GCF_001517405.1_Bacteria_Proteobacteria_Gammaproteobacteria_Erwinia_gerundensis	1619313	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia gerundensis
GCF_001584725.1	GCF_001584725.1_Bacteria_Firmicutes_NA_endosymbiont_TC1_of_Trimyema_compressum	243899	14	93.33	0.00	Bacteria	Firmicutes	NA	NA	NA	NA	endosymbiont 'TC1' of Trimyema compressum
GCF_001700895.1	GCF_001700895.1_Bacteria_Proteobacteria_Gammaproteobacteria_Buchnera_aphidicola	118101	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola
GCF_001705565.1	GCF_001705565.1_Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonas_fragariae	48664	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas fragariae
GCF_001767235.1	GCF_001767235.1_Bacteria_Cyanobacteria_NA_Moorea_producens	1458985	14	93.33	0.00	Bacteria	Cyanobacteria	NA	Oscillatoriales	Oscillatoriaceae	Moorea	Moorea producens
GCF_001971705.1	GCF_001971705.1_Archaea_Euryarchaeota_Halobacteria_Haloterrigena_daqingensis	588898	14	93.33	6.67	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Haloterrigena	Haloterrigena daqingensis
GCF_900078775.1	GCF_900078775.1_Bacteria_Actinobacteria_NA_Mycolicibacterium_aurum	1791	13	86.67	0.00	Bacteria	Actinobacteria	NA	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium aurum
GCF_900089455.2	GCF_900089455.2_Bacteria_Proteobacteria_Betaproteobacteria_Orrella_dioscoreae	1851544	14	93.33	0.00	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Orrella	Orrella dioscoreae
GCF_900090215.1	GCF_900090215.1_Bacteria_Proteobacteria_Gammaproteobacteria_secondary_endosymbiont_of_Trabutina_mannipara	1835721	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	secondary endosymbiont of Trabutina mannipara
GCF_900093775.1	GCF_900093775.1_Bacteria_Firmicutes_Bacilli_Bacillus_glycinifermentans	1664069	14	93.33	0.00	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus glycinifermentans
GCF_900095135.1	GCF_900095135.1_Bacteria_Bacteroidetes_Bacteroidia_Proteiniphilum_saccharofermentans	1642647	14	93.33	0.00	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Dysgonamonadaceae	Proteiniphilum	Proteiniphilum saccharofermentans
GCF_900095295.1	GCF_900095295.1_Archaea_Euryarchaeota_Methanobacteria_Methanobacterium_congolense	118062	14	93.33	0.00	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium congolense
GCF_900095795.1	GCF_900095795.1_Bacteria_Bacteroidetes_Bacteroidia_Petrimonas_mucosa	1642646	14	93.33	0.00	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Petrimonas	Petrimonas mucosa
GCF_900095815.1	GCF_900095815.1_Archaea_Euryarchaeota_Methanobacteria_Methanothermobacter_wolfeii	145261	14	93.33	0.00	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	Methanothermobacter wolfeii
GCF_900097105.1	GCF_900097105.1_Bacteria_Verrucomicrobia_Verrucomicrobiae_Akkermansia_glycaniphila	1679444	14	93.33	0.00	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia glycaniphila
GCF_900116045.1	GCF_900116045.1_Bacteria_Proteobacteria_Deltaproteobacteria_Desulfovibrio_piger	901	14	93.33	0.00	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio piger
GCF_900168365.1	GCF_900168365.1_Bacteria_Firmicutes_Clostridia_Clostridium_chauvoei	1351755	14	93.33	0.00	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium chauvoei
GCF_900169085.1	GCF_900169085.1_Bacteria_Chlamydiae_Chlamydiia_Chlamydia_suis	83559	14	93.33	0.00	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia suis
GCF_900169565.1	GCF_900169565.1_Bacteria_Nitrospirae_Nitrospira_Nitrospira_japonica	1325564	14	93.33	0.00	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	NA	Nitrospira japonica
GCF_900184705.1	GCF_900184705.1_Bacteria_Chloroflexi_Anaerolineae_Brevefilum_fermentans	1986204	14	93.33	0.00	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Brevefilum	Brevefilum fermentans
GCF_000002515.2	GCF_000002515.2_Eukaryota_Ascomycota_Saccharomycetes_Kluyveromyces_lactis_NRRL_Y-1140	28985	14	93.33	93.33	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces lactis
GCF_000002725.2	GCF_000002725.2_Eukaryota_NA_NA_Leishmania_major_Friedlin	347515	14	93.33	166.67	Eukaryota	NA	NA	Kinetoplastida	Trypanosomatidae	NA	Leishmania major
GCF_000005825.2	GCF_000005825.2_Bacteria_Firmicutes_Bacilli_Bacillus_pseudofirmus_OF4	398511	14	93.33	0.00	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pseudofirmus
GCF_000006175.1	GCF_000006175.1_Archaea_Euryarchaeota_Methanococci_Methanococcus_voltae_A3	456320	14	93.33	0.00	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus voltae
GCF_000006685.1	GCF_000006685.1_Bacteria_Chlamydiae_Chlamydiia_Chlamydia_muridarum_Nigg	243161	14	93.33	0.00	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia muridarum
GCF_000006725.1	GCF_000006725.1_Bacteria_Proteobacteria_Gammaproteobacteria_Xylella_fastidiosa_9a5c	160492	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xylella	Xylella fastidiosa
GCF_000006805.1	GCF_000006805.1_Archaea_Euryarchaeota_Halobacteria_Halobacterium_salinarum_NRC-1_ATCC_700922	64091	14	93.33	6.67	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	Halobacterium salinarum
GCF_000007025.1	GCF_000007025.1_Bacteria_Proteobacteria_Alphaproteobacteria_Rickettsia_conorii_Malish_7	272944	14	93.33	0.00	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia conorii
GCF_000007085.1	GCF_000007085.1_Bacteria_Firmicutes_Clostridia_Caldanaerobacter_subterraneus_MB4	273068	14	93.33	0.00	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Caldanaerobacter	Caldanaerobacter subterraneus
GCF_000007125.1	GCF_000007125.1_Bacteria_Proteobacteria_Alphaproteobacteria_Brucella_melitensis_16M	224914	13	86.67	0.00	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella melitensis
GCF_000007305.1	GCF_000007305.1_Archaea_Euryarchaeota_Thermococci_Pyrococcus_furiosus_DSM_3638	186497	14	93.33	0.00	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus furiosus
GCF_000007345.1	GCF_000007345.1_Archaea_Euryarchaeota_Methanomicrobia_Methanosarcina_acetivorans_C2A	188937	14	93.33	6.67	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina acetivorans
GCF_000007365.1	GCF_000007365.1_Bacteria_Proteobacteria_Gammaproteobacteria_Buchnera_aphidicola_Sg	198804	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola
GCF_000007485.1	GCF_000007485.1_Bacteria_Actinobacteria_NA_Tropheryma_whipplei_Twist	203267	14	93.33	0.00	Bacteria	Actinobacteria	NA	Micrococcales	NA	Tropheryma	Tropheryma whipplei
GCF_000007625.1	GCF_000007625.1_Bacteria_Firmicutes_Clostridia_Clostridium_tetani_Massachusetts_substr._E88	212717	14	93.33	0.00	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium tetani
GCF_000007705.1	GCF_000007705.1_Bacteria_Proteobacteria_Betaproteobacteria_Chromobacterium_violaceum_ATCC_12472	243365	14	93.33	0.00	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium violaceum
GCF_000007725.1	GCF_000007725.1_Bacteria_Proteobacteria_Gammaproteobacteria_Buchnera_aphidicola_Bp_Baizongia_pistaciae	224915	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola
GCF_000007745.1	GCF_000007745.1_Bacteria_Proteobacteria_Gammaproteobacteria_Mannheimia_succiniciproducens_MBEL55E	221988	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Basfia	[Mannheimia] succiniciproducens
GCF_000007865.1	GCF_000007865.1_Bacteria_Actinobacteria_NA_Mycobacterium_avium_K-10	262316	14	93.33	0.00	Bacteria	Actinobacteria	NA	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium avium
GCF_000007905.1	GCF_000007905.1_Bacteria_Proteobacteria_Epsilonproteobacteria_Helicobacter_hepaticus_ATCC_51449	235279	14	93.33	0.00	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter hepaticus
GCF_000007945.1	GCF_000007945.1_Bacteria_Proteobacteria_Gammaproteobacteria_Haemophilus_ducreyi_35000HP	233412	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	[Haemophilus] ducreyi
GCF_000008025.1	GCF_000008025.1_Bacteria_Proteobacteria_Alphaproteobacteria_Wolbachia_endosymbiont_of_Drosophila_melanogaster_wMel	163164	14	93.33	0.00	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Drosophila melanogaster
GCF_000008045.1	GCF_000008045.1_Bacteria_Proteobacteria_Alphaproteobacteria_Rickettsia_typhi_Wilmington	257363	14	93.33	0.00	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia typhi
GCF_000008205.1	GCF_000008205.1_Bacteria_Tenericutes_Mollicutes_Mycoplasma_hyopneumoniae_J	262719	14	93.33	0.00	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma hyopneumoniae
GCF_000008265.1	GCF_000008265.1_Archaea_Euryarchaeota_Thermoplasmata_Picrophilus_torridus_DSM_9790	263820	14	93.33	0.00	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Picrophilaceae	Picrophilus	Picrophilus torridus
GCF_000008325.1	GCF_000008325.1_Bacteria_Proteobacteria_Gammaproteobacteria_Methylococcus_capsulatus_Bath	243233	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcus	Methylococcus capsulatus
GCF_000008345.1	GCF_000008345.1_Bacteria_Actinobacteria_NA_Cutibacterium_acnes_KPA171202	267747	14	93.33	0.00	Bacteria	Actinobacteria	NA	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
GCF_000008365.1	GCF_000008365.1_Bacteria_Tenericutes_Mollicutes_Mycoplasma_mobile_163K	267748	14	93.33	0.00	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma mobile
GCF_000008465.1	GCF_000008465.1_Bacteria_Proteobacteria_Gammaproteobacteria_Idiomarina_loihiensis_L2TR	283942	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina	Idiomarina loihiensis
GCF_000008645.1	GCF_000008645.1_Archaea_Euryarchaeota_Methanobacteria_Methanothermobacter_thermautotrophicus_Delta_H	187420	14	93.33	0.00	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	Methanothermobacter thermautotrophicus
GCF_000008665.1	GCF_000008665.1_Archaea_Euryarchaeota_Archaeoglobi_Archaeoglobus_fulgidus_DSM_4304	224325	14	93.33	0.00	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus fulgidus
GCF_000009125.1	GCF_000009125.1_Bacteria_Proteobacteria_Betaproteobacteria_Ralstonia_solanacearum_GMI1000	267608	14	93.33	0.00	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
GCF_000009145.1	GCF_000009145.1_Bacteria_Proteobacteria_Betaproteobacteria_Nitrosomonas_europaea_ATCC_19718	228410	14	93.33	0.00	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas europaea
GCF_000009365.1	GCF_000009365.1_Bacteria_Proteobacteria_Gammaproteobacteria_Alcanivorax_borkumensis_SK2	393595	14	93.33	0.00	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	Alcanivorax borkumensis
GCF_000009545.1	GCF_000009545.1_Bacteria_Firmicutes_Bacilli_Streptococcus_uberis_0140J	218495	14	93.33	0.00	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus uberis
GCF_000009765.2	GCF_000009765.2_Bacteria_Actinobacteria_NA_Streptomyces_avermitilis_MA-4680	227882	14	93.33	0.00	Bacteria	Actinobacteria	NA	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces avermitilis
GCF_000009825.1	GCF_000009825.1_Bacteria_Firmicutes_Bacilli_Bacillus_clausii_KSM-K16	66692	14	93.33	0.00	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus clausii
GCF_000009845.1	GCF_000009845.1_Bacteria_Tenericutes_Mollicutes_Onion_yellows_phytoplasma_onion_yellows	262768	12	80.00	0.00	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Candidatus Phytoplasma	Onion yellows phytoplasma
GCF_000009865.1	GCF_000009865.1_Bacteria_Firmicutes_Bacilli_Staphylococcus_haemolyticus_JCSC1435	279808	14	93.33	0.00	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus
GCF_000009905.1	GCF_000009905.1_Bacteria_Firmicutes_Clostridia_Symbiobacterium_thermophilum_IAM14863	292459	14	93.33	0.00	Bacteria	Firmicutes	Clostridia	Clostridiales	Symbiobacteriaceae	Symbiobacterium	Symbiobacterium thermophilum
GCF_000009945.1	GCF_000009945.1_Bacteria_Chlamydiae_Chlamydiia_Chlamydia_felis_Fe_C-56	264202	14	93.33	0.00	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia felis
GCF_000009965.1	GCF_000009965.1_Archaea_Euryarchaeota_Thermococci_Thermococcus_kodakarensis_KOD1	69014	14	93.33	0.00	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus kodakarensis
GCF_000009985.1	GCF_000009985.1_Bacteria_Proteobacteria_Alphaproteobacteria_Magnetospirillum_magneticum_AMB-1	342108	14	93.33	0.00	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	Magnetospirillum magneticum
